company,rank,rank_change,revenue,profit,num. of employees,sector,city,state,newcomer,ceo_founder,ceo_woman,profitable
Delta Air Lines,113,65,29899,280,,Transportation,Atlanta,GA,no,no,no,yes
American Airlines Group,114,60,29882,-1993,,Transportation,Fort Worth,TX,no,no,no,no
Netflix,115,,29697.8,5116.2,,Media,Los Gatos,CA,no,yes,no,yes
Paramount Global,116,-7,29579,4543,,Media,New York,NY,no,no,no,yes
US Foods Holding,117,11,29487,164,,Wholesalers,Rosemont,IL,no,no,no,yes
Danaher,118,12,29453,6433,,Health Care,Washington,DC,no,no,no,yes
Jabil,119,-15,29285,696,,Technology,St. Petersburg,FL,no,no,no,yes
Starbucks,120,5,29060.6,4199.3,,"Hotels, Restaurants & Leisure",Seattle,WA,no,yes,no,yes
Mondelez International,121,-13,28720,4300,,"Food, Beverages & Tobacco",Chicago,IL,no,no,no,yes
TD Synnex,109,8,31614.2,395.1,,Wholesalers,Fremont,CA,no,no,no,yes
Philip Morris International,110,-9,31405,9109,,"Food, Beverages & Tobacco",New York,NY,no,no,no,yes
World Fuel Services,111,36,31337,73.7,,Energy,Miami,FL,no,no,no,yes
Performance Food Group,112,2,30398.9,40.7,,Wholesalers,Richmond,VA,no,no,no,yes
Qualcomm,107,17,33566,9043,,Technology,San Diego,CA,no,no,no,yes
Capital One Financial,108,-9,32033,12390,,Financials,McLean,VA,no,yes,no,yes
CarMax,174,-38,20092.1,746.9,,Retailing,Richmond,VA,no,no,no,yes
3M,102,-6,35355,5921,,Chemicals,St. Paul,MN,no,no,no,yes
Travelers,103,-5,34816,3662,,Financials,New York,NY,no,no,no,yes
Arrow Electronics,104,-2,34477,1108.2,,Wholesalers,Centennial,CO,no,no,no,yes
Honeywell International,105,-11,34392,5542,,Industrials,Charlotte,NC,no,no,no,yes
Dollar General,106,-15,34220.4,2399.2,,Retailing,Goodlettsville,TN,no,no,no,yes
USAA,96,-9,37469.6,3300,,Financials,San Antonio,TX,no,no,no,yes
Northwestern Mutual,97,-7,36751.2,977.8,,Financials,Milwaukee,WI,no,no,no,yes
Nucor,98,51,36483.9,6827.5,,Materials,Charlotte,NC,no,no,no,yes
Exelon,99,-7,36347,1706,,Energy,Chicago,IL,no,no,no,yes
Massachusetts Mutual Life Insurance,100,23,35899.5,319.3,,Financials,Springfield,MA,no,no,no,yes
Northrop Grumman,101,-15,35667,7005,,Aerospace & Defense,Falls Church,VA,no,no,yes,yes
Thermo Fisher Scientific,92,3,39211,7725,,Technology,Waltham,MA,no,no,no,yes
Coca-Cola,93,,38655,9771,,"Food, Beverages & Tobacco",Atlanta,GA,no,no,no,yes
General Dynamics,94,-10,38469,3257,,Aerospace & Defense,Reston,VA,no,no,yes,yes
CHS,95,8,38448,554,,"Food, Beverages & Tobacco",Inver Grove Heights,MN,no,no,no,yes
Abbott Laboratories,86,3,43075,7071,,Health Care,Abbott Park,IL,no,no,no,yes
StoneX Group,87,-29,42534.2,116.3,,Financials,New York,NY,no,no,no,yes
Plains GP Holdings,88,39,42078,60,,Energy,Houston,TX,no,no,no,yes
Enterprise Products Partners,89,16,40806.9,4637.7,,Energy,Houston,TX,no,no,no,yes
TIAA,90,-11,40526.4,4060.7,,Financials,New York,NY,no,no,yes,yes
Oracle,91,-11,40479,13746,,Technology,Austin,TX,no,no,yes,yes
Bristol-Myers Squibb,82,-7,46385,6994,,Health Care,New York,NY,no,no,no,yes
Nike,83,2,44538,5727,,Apparel,Beaverton,OR,no,no,no,yes
Deere,84,4,44024,5963,,Industrials,Moline,IL,no,no,no,yes
American Express,85,-2,43663,8060,,Financials,New York,NY,no,no,no,yes
TJX,75,22,48550,3282.8,,Retailing,Framingham,MA,no,no,no,yes
Publix Super Markets,76,-7,48393.9,4412.2,,Food & Drug Stores,Lakeland,FL,no,no,no,yes
ConocoPhillips,77,79,48349,8079,,Energy,Houston,TX,no,no,no,yes
Liberty Mutual Insurance Group,78,-7,48200,3068,,Financials,Boston,MA,no,no,no,yes
Progressive,79,-5,47702,3350.9,,Financials,Mayfield Village,OH,no,no,yes,yes
Nationwide,80,-4,47376,1617.2,,Financials,Columbus,OH,no,no,no,yes
Tyson Foods,81,-8,47049,3047,,"Food, Beverages & Tobacco",Springdale,AR,no,no,no,yes
American International Group,67,5,52057,9388,,Financials,New York,NY,no,no,no,yes
Best Buy,68,-2,51761,2454,,Retailing,Richfield,MN,no,no,yes,yes
Charter Communications,69,-5,51682,4654,,Telecommunications,Stamford,CT,no,no,no,yes
Sysco,70,-10,51297.8,524.2,,Wholesalers,Houston,TX,no,no,no,yes
Merck,71,-6,51216,13049,,Health Care,Kenilworth,NJ,no,no,no,yes
New York Life Insurance,72,-5,51198.5,277.1,,Financials,New York,NY,no,no,no,yes
Caterpillar,73,5,50971,6489,,Industrials,Deerfield,IL,no,no,no,yes
Cisco Systems,74,-11,49818,10591,,Technology,San Jose,CA,no,no,no,yes
AbbVie,63,5,56197,11542,,Health Care,North Chicago,IL,no,no,no,yes
Dow,64,18,54968,6311,,Chemicals,Midland,MI,no,no,no,yes
Tesla,65,35,53823,5519,,Motor Vehicles & Parts,Austin,TX,no,yes,no,yes
Allstate,66,4,53228,1599,,Financials,Northbrook,IL,no,no,no,yes
Boeing,60,-6,62286,-4202,,Aerospace & Defense,Chicago,IL,no,no,no,no
Morgan Stanley,61,,61121,15034,,Financials,New York,NY,no,no,no,yes
HCA Healthcare,62,,58752,6956,,Health Care,Nashville,TN,no,no,no,yes
HP,59,-3,63487,6503,,Technology,Palo Alto,CA,no,no,no,yes
Goldman Sachs Group,57,2,64989,21635,,Financials,New York,NY,no,no,no,yes
Raytheon Technologies,58,-1,64388,3864,,Aerospace & Defense,Waltham,MA,no,no,no,yes
General Electric,48,-10,74196,-6520,,Industrials,Boston,MA,no,no,no,no
International Business Machines,49,-7,72344,5743,,Technology,Armonk,NY,no,no,no,yes
MetLife,50,-4,71080,6554,,Financials,New York,NY,no,no,no,yes
Prudential Financial,51,4,70934,7724,,Financials,Newark,NJ,no,no,no,yes
Albertsons,52,,69690.4,850.2,,Food & Drug Stores,Boise,ID,no,no,no,yes
Walt Disney,53,-3,67418,1995,,Media,Burbank,CA,no,no,no,yes
Energy Transfer,54,27,67417,5470,,Energy,Dallas,TX,no,no,no,yes
Lockheed Martin,55,-6,67044,6315,,Aerospace & Defense,Bethesda,MD,no,no,no,yes
Freddie Mac,56,-9,65898,12109,,Financials,McLean,VA,no,no,no,yes
Pfizer,43,34,81288,21979,,Health Care,New York,NY,no,no,no,yes
Citigroup,44,-11,79865,21952,,Financials,New York,NY,no,no,yes,yes
PepsiCo,45,-1,79474,7618,,"Food, Beverages & Tobacco",Purchase,NY,no,no,no,yes
Intel,46,-6,79024,19868,,Technology,Santa Clara,CA,no,no,no,yes
Procter & Gamble,47,-4,76118,14306,,Household Products,Cincinnati,OH,no,no,no,yes
Archer Daniels Midland,38,13,85249,2709,,"Food, Beverages & Tobacco",Chicago,IL,no,no,no,yes
FedEx,39,6,83959,5231,,Transportation,Memphis,TN,no,yes,no,yes
Humana,40,1,83064,2933,,Health Care,Louisville,KY,no,no,no,yes
Wells Fargo,41,-4,82407,21548,,Financials,San Francisco,CA,no,no,no,yes
State Farm Insurance,42,-3,82224.7,1280.9,,Financials,Bloomington,IL,no,no,no,yes
Lowe's,35,-4,96250,8442,,Retailing,Mooresville,NC,no,no,no,yes
Bank of America,36,-7,93851,31978,,Financials,Charlotte,NC,no,no,no,yes
Johnson & Johnson,37,-1,93775,20878,,Health Care,New Brunswick,NJ,no,no,no,yes
United Parcel Service,34,1,97287,12890,,Transportation,Atlanta,GA,no,no,yes,yes
Comcast,28,-2,116385,14159,,Telecommunications,Philadelphia,PA,no,no,no,yes
Phillips 66,29,19,114852,1317,,Energy,Houston,TX,no,no,no,yes
Valero Energy,30,23,108332,930,,Energy,San Antonio,TX,no,no,no,yes
Dell Technologies,31,-3,106995,5563,,Technology,Round Rock,TX,no,yes,no,yes
Target,32,-2,106005,6946,,Retailing,Minneapolis,MN,no,no,no,yes
Fannie Mae,33,-8,101543,22176,,Financials,Washington,DC,no,no,no,yes
Marathon Petroleum,19,13,141032,9738,,Energy,Findlay,OH,no,no,no,yes
Elevance Health,20,3,138639,6104,,Health Care,Indianapolis,IN,no,no,yes,yes
Kroger,21,-4,137888,1655,,Food & Drug Stores,Cincinnati,OH,no,no,no,yes
Ford Motor,22,-1,136341,17937,,Motor Vehicles & Parts,Dearborn,MI,no,no,no,yes
Verizon Communications,23,-3,133613,22065,,Telecommunications,New York,NY,no,no,no,yes
JPMorgan Chase,24,-5,127202,48334,,Financials,New York,NY,no,no,no,yes
General Motors,25,-3,127004,10019,,Motor Vehicles & Parts,Detroit,MI,no,no,yes,yes
Centene,26,-2,125982,1347,,Health Care,St. Louis,MO,no,no,yes,yes
Meta Platforms,27,7,117929,39370,,Technology,Menlo Park,CA,no,yes,no,yes
Cigna,12,1,174078,5365,,Health Care,Bloomfield,CT,no,no,no,yes
AT&T,13,-2,168864,20081,,Telecommunications,Dallas,TX,no,no,no,yes
Microsoft,14,1,168088,61271,,Technology,Redmond,WA,no,no,no,yes
Cardinal Health,15,-1,162467,611,,Health Care,Dublin,OH,no,no,no,yes
Chevron,16,11,162465,15625,,Energy,San Ramon,CA,no,no,no,yes
Home Depot,17,1,151157,16433,,Retailing,Atlanta,GA,no,no,no,yes
Walgreens Boots Alliance,18,-2,148579,2542,,Food & Drug Stores,Deerfield,IL,no,no,yes,yes
CVS Health,4,,292111,7910,,Health Care,Woonsocket,RI,no,no,yes,yes
UnitedHealth Group,5,,287597,17285,,Health Care,Minnetonka,MN,no,no,no,yes
Exxon Mobil,6,4,285640,23040,,Energy,Irving,TX,no,no,no,yes
Berkshire Hathaway,7,-1,276094,89795,,Financials,Omaha,NE,no,no,no,yes
Alphabet,8,1,257637,76033,,Technology,Mountain View,CA,no,no,no,yes
McKesson,9,-2,238228,-4539,,Health Care,Irving,TX,no,no,no,no
AmerisourceBergen,10,-2,213988.8,1539.9,,Health Care,Conshohocken,PA,no,no,no,yes
Costco Wholesale,11,1,195929,5007,,Retailing,Issaquah,WA,no,no,no,yes
Walmart,1,,572754,13673,,Retailing,Bentonville,AR,no,no,no,yes
Amazon,2,,469822,33364,,Retailing,Seattle,WA,no,no,no,yes
Apple,3,,365817,94680,,Technology,Cupertino,CA,no,no,no,yes
Element Solutions,941,,2399.8,203.3,,Chemicals,Fort Lauderdale,FL,no,no,no,yes
Hilton Grand Vacations,951,,2335,176,,"Hotels, Restaurants & Leisure",Orlando,FL,no,no,no,yes
Crocs,954,,2313.4,725.7,,Apparel,Broomfield,CO,no,no,no,yes
Olympic Steel,955,,2312.3,121.1,,Materials,Highland Hills,OH,no,no,no,yes
Signature Bank,956,,2311.3,918.4,,Financials,New York,NY,no,yes,no,yes
Saia,961,,2288.7,253.2,,Transportation,Johns Creek,GA,no,no,no,yes
Sun Communities,964,,2272.6,380.2,,Financials,Southfield,MI,no,no,no,yes
Century Aluminum,979,,2212.5,-167.1,,Materials,Chicago,IL,no,no,no,no
Pure Storage,984,,2180.8,-143.3,,Technology,Mountain View,CA,no,no,no,no
Dun & Bradstreet Holdings,987,,2165.6,-71.7,,Business Services,Jacksonville,FL,no,no,no,no
Acushnet Holdings,990,,2147.9,178.9,,"Hotels, Restaurants & Leisure",Fairhaven,MA,no,no,no,yes
Vizio Holding,996,,2124,-39.4,,Industrials,Irvine,CA,no,yes,no,no
Cowen,998,,2112.8,295.6,,Financials,New York,NY,no,no,no,yes
Core & Main,606,,5004,166,,Wholesalers,St. Louis,MO,no,no,no,yes
TPG,610,,4976.4,2180.9,,Financials,Fort Worth,TX,no,no,no,yes
Ares Management,627,,4770.6,408.8,,Financials,Los Angeles,CA,no,yes,no,yes
Marvell Technology,654,,4462.4,-421,,Technology,Wilmington,DE,no,no,no,no
Mattress Firm Group,659,,4392.9,-165.1,,Retailing,Houston,TX,no,no,no,no
Bright Health Group,688,,4029.4,-1184.9,,Health Care,Minneapolis,MN,no,no,no,no
eXp World Holdings,717,,3771.2,81.2,,Financials,Bellingham,WA,no,yes,no,yes
Coterra Energy,762,,3449,1158,,Energy,Houston,TX,no,no,no,yes
Callaway Golf,811,,3133.4,322,,"Hotels, Restaurants & Leisure",Carlsbad,CA,no,no,no,yes
Change Healthcare,815,,3090.4,-112.2,,Health Care,Nashville,TN,no,no,no,no
Atkore,847,,2928,587.9,,Industrials,Harvey,IL,no,no,no,yes
Alight,853,,2915,-60,,Business Services,Lincolnshire,IL,no,no,no,no
Annaly Capital Management,867,,2836.2,2389.9,,Financials,New York,NY,no,no,no,yes
AppLovin,876,,2793.1,35.4,,Technology,Palo Alto,CA,no,yes,no,yes
SM Energy,905,,2622.9,36.2,,Energy,Denver,CO,no,no,no,yes
Kaiser Aluminum,906,,2622,-18.5,,Materials,Foothill Ranch,CA,no,no,no,no
Encore Wire,910,,2592.7,541.4,,Industrials,McKinney,TX,no,no,no,yes
Pinterest,913,,2578,316.4,,Technology,San Francisco,CA,no,yes,no,yes
WeWork,914,,2570.1,-4439,,Financials,New York,NY,no,no,no,no
AMC Entertainment Holdings,920,,2527.9,-1269.1,,Media,Leawood,KS,no,no,no,no
Kontoor Brands,923,,2475.9,195.4,,Apparel,Greensboro,NC,no,no,no,yes
Liberty Energy,924,,2470.8,-179.2,,Energy,Denver,CO,no,yes,no,no
AdaptHealth,926,,2465.1,156.2,,Health Care,Plymouth Meeting,PA,no,no,no,yes
Jackson Financial,395,,8848,3183,,Financials,Lansing,MI,yes,no,yes,yes
GXO Logistics,430,,7940,153,,Transportation,Greenwich,CT,yes,no,no,yes
Victoria's Secret,480,,6784.6,646.4,,Retailing,Reynoldsburg,OH,yes,no,no,yes
Concentrix,557,,5587,405.6,,Technology,Fremont,CA,no,no,no,yes
Vroom,805,,3184.3,-370.9,,Retailing,New York,NY,no,no,no,no
1-800-Flowers.com,997,,2122.2,118.7,,Retailing,Jericho,NY,no,no,no,yes
Ashland,999,,2111,220,,Chemicals,Wilmington,DE,no,no,no,yes
DocuSign,1000,,2107.2,-70,,Technology,San Francisco,CA,no,no,yes,no
Harsco,991,,2147,-3.2,,Business Services,Camp Hill,PA,no,no,no,no
Beazer Homes USA,992,,2140.3,122,,Engineering & Construction,Atlanta,GA,no,no,no,yes
Chemed,993,,2139.3,268.6,,Health Care,Cincinnati,OH,no,no,no,yes
Genesis Energy,994,,2125.5,-165.1,,Energy,Houston,TX,no,no,no,no
BWX Technologies,995,,2124.1,305.9,,Aerospace & Defense,Lynchburg,VA,no,no,no,yes
TrueBlue,985,,2173.6,61.6,,Business Services,Tacoma,WA,no,no,no,yes
Party City Holdco,986,,2171.1,-6.5,,Retailing,Elmsford,NY,no,no,no,no
Dropbox,988,,2157.9,335.8,,Technology,San Francisco,CA,no,yes,no,yes
New Jersey Resources,989,,2156.6,117.9,,Energy,Wall,NJ,no,no,no,yes
Arch Resources,980,,2208,337.6,,Energy,St. Louis,MO,no,no,no,yes
Aerojet Rocketdyne Holdings,981,,2188,143.7,,Aerospace & Defense,El Segundo,CA,no,no,yes,yes
Sleep Number,982,,2184.9,153.7,,Retailing,Minneapolis,MN,no,no,yes,yes
HNI,983,,2184.4,59.8,,Household Products,Muscatine,IA,no,no,no,yes
Spire,974,,2235.5,271.7,,Energy,St. Louis,MO,no,no,yes,yes
Vista Outdoor,975,,2225.5,266,,Business Services,Anoka,MN,no,no,no,yes
Surgery Partners,976,,2225.1,-70.9,,Health Care,Brentwood,TN,no,no,no,no
LHC Group,977,,2219.6,115.7,,Health Care,Lafayette,LA,no,yes,no,yes
Amedisys,978,,2214.1,209.1,,Health Care,Baton Rouge,LA,no,no,no,yes
Kar Auction Services,969,,2251.6,66.5,,Wholesalers,Carmel,IN,no,no,no,yes
TTM Technologies,970,,2248.7,54.4,,Technology,Santa Ana,CA,no,no,no,yes
Kirby,971,,2246.7,-247,,Transportation,Houston,TX,no,no,no,no
Woodward,972,,2245.8,208.6,,Aerospace & Defense,Fort Collins,CO,no,no,no,yes
Clear Channel Outdoor Holdings,973,,2241.1,-433.8,,Business Services,San Antonio,TX,no,no,no,no
Alpha Metallurgical Resources,965,,2258.6,288.8,,Energy,Bristol,TN,no,no,no,yes
GEO Group,966,,2256.6,77.4,,Business Services,Boca Raton,FL,no,no,no,yes
Viasat,967,,2256.1,3.7,,Technology,Carlsbad,CA,no,no,no,yes
Benchmark Electronics,968,,2255.3,35.8,,Technology,Tempe,AZ,no,no,no,yes
Entegris,959,,2298.9,409.1,,Technology,Billerica,MA,no,no,no,yes
AvalonBay Communities,960,,2294.9,1004.3,,Financials,Arlington,VA,no,no,no,yes
E.W. Scripps,962,,2283.5,122.7,,Media,Cincinnati,OH,no,no,no,yes
TTEC Holdings,963,,2273.1,141,,Technology,Englewood,CO,no,yes,no,yes
SBA Communications,957,,2308.8,237.6,,Financials,Boca Raton,FL,no,no,no,yes
Murphy Oil,958,,2300.1,-73.7,,Energy,Houston,TX,no,no,no,no
Stepan,949,,2346,137.8,,Chemicals,Northbrook,IL,no,no,no,yes
Valhi,950,,2335.4,127.2,,Chemicals,Dallas,TX,no,no,no,yes
Cooper-Standard Holdings,952,,2330.2,-322.8,,Motor Vehicles & Parts,Northville,MI,no,no,no,no
Etsy,953,,2329.1,493.5,,Technology,Brooklyn,NY,no,no,no,yes
Acadia Healthcare,944,,2376.9,190.6,,Health Care,Franklin,TN,no,no,no,yes
Alexandria Real Estate Equities,945,,2373.6,571.2,,Financials,Pasadena,CA,no,no,no,yes
Nordson,946,,2362.2,454.4,,Industrials,Westlake,OH,no,no,no,yes
NewMarket,947,,2356.1,190.9,,Chemicals,Richmond,VA,no,no,no,yes
Ohio National Mutual,948,,2346.5,-85.2,,Financials,Cincinnati,OH,no,no,yes,no
Belden,939,,2408.1,63.9,,Industrials,St. Louis,MO,no,no,no,yes
Allison Transmission Holdings,940,,2402,442,,Motor Vehicles & Parts,Indianapolis,IN,no,no,no,yes
Portland General Electric,942,,2396,244,,Energy,Portland,OR,no,no,yes,yes
REV Group,943,,2380.8,44.4,,Motor Vehicles & Parts,Brookfield,WI,no,no,no,yes
Wolverine World Wide,934,,2414.9,68.6,,Apparel,Rockford,MI,no,no,no,yes
Gray Television,935,,2413,90,,Media,Atlanta,GA,no,no,no,yes
Affiliated Managers Group,936,,2412.4,565.7,,Financials,West Palm Beach,FL,no,no,no,yes
Summit Materials,937,,2409.7,152.2,,Materials,Denver,CO,no,no,yes,yes
SLM,938,,2409.3,1160.5,,Financials,Newark,DE,no,no,no,yes
DexCom,929,,2448.5,154.7,,Health Care,San Diego,CA,no,no,no,yes
Rollins,930,,2424.3,350.7,,Business Services,Atlanta,GA,no,no,no,yes
Genesco,931,,2422.1,114.9,,Retailing,Nashville,TN,no,no,yes,yes
Bruker,932,,2417.9,277.1,,Technology,Billerica,MA,no,no,no,yes
Joann,933,,2417.6,56.7,,Retailing,Hudson,OH,no,no,no,yes
Knights of Columbus,925,,2467.5,130.3,,Financials,New Haven,CT,no,no,no,yes
MillerKnoll,927,,2465.1,173.1,,Household Products,Zeeland,MI,no,no,yes,yes
Equity Residential,928,,2464,1332.9,,Financials,Chicago,IL,no,no,no,yes
Deckers Outdoor,918,,2545.6,382.6,,Apparel,Goleta,CA,no,no,no,yes
Griffon,919,,2541.7,79.2,,Materials,New York,NY,no,no,no,yes
Curtiss-Wright,921,,2505.9,267.2,,Industrials,Davidson,NC,no,no,yes,yes
MYR Group,922,,2498.3,85,,Engineering & Construction,Henderson,CO,no,no,no,yes
ManTech International,915,,2554,137,,Technology,Herndon,VA,no,no,no,yes
BrightView Holdings,916,,2553.6,46.3,,Business Services,Blue Bell,PA,no,no,no,yes
NortonLifeLock,917,,2552,554,,Technology,Tempe,AZ,no,no,no,yes
F5,908,,2603.4,331.2,,Technology,Seattle,WA,no,no,no,yes
Steelcase,909,,2596.2,26.1,,Household Products,Grand Rapids,MI,no,no,yes,yes
Guess,911,,2591.6,171.4,,Retailing,Los Angeles,CA,no,no,no,yes
Playtika Holding,912,,2583,308.5,,Media,Henderson,NV,no,no,no,yes
Maxim Integrated Products,903,,2632.5,827.3,,Technology,San Jose,CA,no,no,no,yes
Ensign Group,904,,2627.5,194.7,,Health Care,San Juan Capistrano,CA,no,no,no,yes
Federated Mutual Insurance,907,,2612.2,320.1,,Financials,Owatonna,MN,no,no,no,yes
MRC Global,901,,2666,-14,,Energy,Houston,TX,no,no,no,no
Stericycle,902,,2646.9,-27.8,,Business Services,Bannockburn,IL,no,no,yes,no
Copart,898,,2692.5,936.5,,Retailing,Dallas,TX,no,no,no,yes
PROG Holdings,899,,2677.9,243.6,,Financials,Draper,UT,no,no,no,yes
Splunk,900,,2673.7,-1339.1,,Technology,San Francisco,CA,no,no,no,no
Americold Realty Trust,893,,2714.8,-30.5,,Financials,Atlanta,GA,no,no,no,no
SkyWest,894,,2713.5,111.9,,Transportation,St. George,UT,no,no,no,yes
Primerica,895,,2709.7,373.4,,Financials,Duluth,GA,no,no,no,yes
McAfee,896,,2701,849,,Technology,San Jose,CA,no,no,no,yes
Nu Skin Enterprises,897,,2695.7,147.3,,Household Products,Provo,UT,no,no,no,yes
IDEX,887,,2764.8,449.4,,Industrials,Northbrook,IL,no,no,no,yes
Popular,888,,2764.8,934.9,,Financials,Hato Rey,PR,no,no,no,yes
Roku,889,,2764.6,242.4,,Media,San Jose,CA,no,yes,no,yes
Schnitzer Steel Industries,890,,2758.6,165.1,,Materials,Portland,OR,no,no,yes,yes
Brookdale Senior Living,891,,2758.3,-99.3,,Health Care,Brentwood,TN,no,no,yes,no
Werner Enterprises,892,,2734.4,259.1,,Transportation,Omaha,NE,no,no,no,yes
