company,rank,rank_change,revenue,profit,num. of employees,sector,city,state,newcomer,ceo_founder,ceo_woman,profitable
Kelly Services,618,,4909.7,156.1,,Business Services,Troy,MI,no,no,no,yes
NiSource,619,,4899.6,584.9,,Energy,Merrillville,IN,no,no,no,yes
OneMain Holdings,620,,4895,1314,,Financials,Evansville,IN,no,no,no,yes
DoorDash,621,,4888,-468,,Technology,San Francisco,CA,no,yes,no,no
Avient,622,,4818.8,230.8,,Chemicals,Avon Lake,OH,no,no,no,yes
Sanderson Farms,623,,4799.7,455.1,,"Food, Beverages & Tobacco",Laurel,MS,no,no,no,yes
R.R. Donnelley & Sons,613,,4963.7,3.7,,Media,Chicago,IL,no,no,no,yes
Keysight Technologies,614,,4941,894,,Technology,Santa Rosa,CA,no,no,no,yes
Tempur Sealy International,615,,4930.8,624.5,,Household Products,Lexington,KY,no,no,no,yes
Scotts Miracle-Gro,616,,4925,512.5,,Chemicals,Marysville,OH,no,no,no,yes
Equifax,617,,4923.9,744.2,,Business Services,Atlanta,GA,no,no,no,yes
Broadridge Financial Solutions,608,,4993.7,547.5,,Business Services,Lake Success,NY,no,no,no,yes
Ingles Markets,609,,4987.9,249.7,,Food & Drug Stores,Black Mountain,NC,no,no,no,yes
Insperity,611,,4973.1,124.1,,Business Services,Kingwood,TX,no,yes,no,yes
Howmet Aerospace,612,,4972,258,,Aerospace & Defense,Pittsburgh,PA,no,no,no,yes
CUNA Mutual Group,602,,5049.5,622.3,,Financials,Madison,WI,no,no,no,yes
FMC,603,,5045.2,736.5,,Chemicals,Philadelphia,PA,no,no,no,yes
Carlisle,604,,5030,421.7,,Materials,Scottsdale,AZ,no,no,no,yes
American Eagle Outfitters,605,,5010.8,419.6,,Retailing,Pittsburgh,PA,no,no,no,yes
Vertiv Holdings,607,,4998.1,119.6,,Industrials,Columbus,OH,no,no,no,yes
SS&C Technologies Holdings,601,,5051,800,,Technology,Windsor,CT,no,yes,no,yes
PerkinElmer,600,,5067.2,943.2,,Health Care,Waltham,MA,no,no,no,yes
Skyworks Solutions,595,,5109.1,1498.3,,Technology,Irvine,CA,no,no,no,yes
Endeavor Group Holdings,596,,5077.7,-296.6,,Media,Beverly Hills,CA,no,no,no,no
Twitter,597,,5077.5,-221.4,,Technology,San Francisco,CA,no,no,no,no
Leggett & Platt,598,,5072.6,402.4,,Household Products,Carthage,MO,no,no,no,yes
Western Union,599,,5070.8,805.8,,Business Services,Denver,CO,no,no,no,yes
Yellow,591,,5121.8,-109.1,,Transportation,Nashville,TN,no,no,no,no
Encompass Health,592,,5121.6,412.2,,Health Care,Birmingham,AL,no,no,no,yes
Simon Property Group,593,,5116.8,2249.6,,Financials,Indianapolis,IN,no,no,no,yes
Globe Life,594,,5112.9,745,,Financials,McKinney,TX,no,no,no,yes
Church & Dwight,586,,5190.1,827.5,,Household Products,Ewing,NJ,no,no,no,yes
American Axle & Manufacturing,587,,5156.6,5.9,,Motor Vehicles & Parts,Detroit,MI,no,no,no,yes
Meritage Homes,588,,5141.3,737.4,,Engineering & Construction,Scottsdale,AZ,no,no,no,yes
Workday,589,,5138.8,29.4,,Technology,Pleasanton,CA,no,yes,no,yes
Rush Enterprises,590,,5126.1,241.4,,Retailing,New Braunfels,TX,no,no,no,yes
NGL Energy Partners,581,,5243.2,-639.8,,Energy,Tulsa,OK,no,no,no,no
Edwards Lifesciences,582,,5232.5,1503.1,,Health Care,Irvine,CA,no,no,no,yes
Hanover Insurance Group,583,,5227.8,418.7,,Financials,Worcester,MA,no,no,no,yes
Syneos Health,584,,5213,234.8,,Health Care,Morrisville,NC,no,no,yes,yes
Xylem,585,,5195,427,,Industrials,Washington,DC,no,no,no,yes
Pool,577,,5295.6,650.6,,Wholesalers,Covington,LA,no,no,no,yes
Old Dominion Freight Line,578,,5256.3,1034.4,,Transportation,Thomasville,NC,no,no,no,yes
Fortive,579,,5254.7,608.4,,Industrials,Everett,WA,no,no,no,yes
MDC Holdings,580,,5254.7,573.7,,Engineering & Construction,Denver,CO,no,no,no,yes
Microchip Technology,571,,5438.4,349.4,,Technology,Chandler,AZ,no,no,no,yes
Harley-Davidson,572,,5336.3,650,,Transportation,Milwaukee,WI,no,no,no,yes
Telephone & Data Systems,573,,5329,156,,Telecommunications,Chicago,IL,no,no,no,yes
ADT,574,,5307.1,-340.8,,Business Services,Boca Raton,FL,no,no,no,no
First Republic Bank,575,,5305,1478,,Financials,San Francisco,CA,no,no,no,yes
Warner Music Group,576,,5301,304,,Media,New York,NY,no,no,no,yes
NOV,566,,5524,-250,,Energy,Houston,TX,no,no,no,no
Las Vegas Sands,567,,5505,-961,,"Hotels, Restaurants & Leisure",Las Vegas,NV,no,no,no,no
Martin Marietta Materials,568,,5493.2,702.5,,Materials,Raleigh,NC,no,no,no,yes
Marathon Oil,569,,5467,946,,Energy,Houston,TX,no,no,no,yes
Mattel,570,,5457.7,903,,Household Products,El Segundo,CA,no,no,no,yes
Greif,561,,5556.1,390.7,,Materials,Delaware,OH,no,no,no,yes
Vulcan Materials,562,,5552.2,670.8,,Materials,Birmingham,AL,no,no,no,yes
Ametek,563,,5546.5,990.1,,Technology,Berwyn,PA,no,no,no,yes
Monster Beverage,564,,5541.4,1377.5,,"Food, Beverages & Tobacco",Corona,CA,no,no,no,yes
Sealed Air,565,,5533.8,506.8,,Materials,Charlotte,NC,no,no,no,yes
Sonoco Products,556,,5590.4,-85.5,,Materials,Hartsville,SC,no,no,no,no
Evergy,558,,5586.7,879.7,,Energy,Kansas City,MO,no,no,no,yes
Cornerstone Building Brands,559,,5583.1,665.9,,Materials,Cary,NC,no,no,yes,yes
Coca-Cola Consolidated,560,,5562.7,189.6,,"Food, Beverages & Tobacco",Charlotte,NC,no,no,no,yes
Hologic,551,,5632.3,1871.5,,Health Care,Marlborough,MA,no,no,no,yes
Electronic Arts,552,,5629,837,,Media,Redwood City,CA,no,no,no,yes
Zebra Technologies,553,,5627,837,,Industrials,Lincolnshire,IL,no,no,no,yes
Coty,554,,5616.2,-201.3,,Household Products,New York,NY,no,no,yes,no
Schneider National,555,,5608.7,405.4,,Transportation,Green Bay,WI,no,no,no,yes
Under Armour,546,,5683.5,360.1,,Apparel,Baltimore,MD,no,no,no,yes
MDU Resources Group,547,,5680.7,378.1,,Energy,Bismarck,ND,no,no,no,yes
Silgan Holdings,548,,5677.1,359.1,,Materials,Stamford,CT,no,no,no,yes
Ryerson Holding,549,,5675.3,294.3,,Materials,Chicago,IL,no,no,no,yes
Ingersoll Rand,550,,5655.2,562.5,,Industrials,Davidson,NC,no,no,no,yes
Tapestry,541,,5746.3,834.2,,Apparel,New York,NY,no,no,yes,yes
NetApp,542,,5744,730,,Technology,San Jose,CA,no,no,no,yes
KB Home,543,,5724.9,564.7,,Engineering & Construction,Los Angeles,CA,no,no,no,yes
Continental Resources,544,,5719.3,1661,,Energy,Oklahoma City,OK,no,no,no,yes
Intuitive Surgical,545,,5710.1,1704.6,,Health Care,Sunnyvale,CA,no,no,no,yes
Kemper,537,,5793,-120.5,,Financials,Chicago,IL,no,no,no,no
Hilton Worldwide Holdings,538,,5788,410,,"Hotels, Restaurants & Leisure",McLean,VA,no,no,no,yes
Cerner,539,,5764.8,555.6,,Health Care,North Kansas City,MO,no,no,no,yes
Levi Strauss,540,,5763.9,553.5,,Apparel,San Francisco,CA,no,no,no,yes
Nasdaq,532,,5886,1187,,Financials,New York,NY,no,no,yes,yes
Brunswick,533,,5846.2,593.3,,Transportation,Mettawa,IL,no,no,no,yes
Resideo Technologies,534,,5846,242,,Materials,Scottsdale,AZ,no,no,no,yes
Chesapeake Energy,535,,5809,,,Energy,Oklahoma City,OK,no,no,no,no
Petco Health and Wellness,536,,5807.1,164.4,,Retailing,San Diego,CA,no,no,no,yes
Knight-Swift Transportation Holdings,527,,5998,743.4,,Transportation,Phoenix,AZ,no,no,no,yes
Airbnb,528,,5991.8,-352,,Technology,San Francisco,CA,no,yes,no,no
Patterson,529,,5912.1,156,,Health Care,St. Paul,MN,no,no,no,yes
PENN Entertainment,530,,5905,420.8,,"Hotels, Restaurants & Leisure",Wyomissing,PA,no,no,no,yes
ServiceNow,531,,5896,230,,Technology,Santa Clara,CA,no,no,no,yes
JetBlue Airways,523,,6037,-182,,Transportation,Long Island City,NY,no,no,no,no
SVB Financial Group,524,,6027,1833,,Financials,Santa Clara,CA,no,no,no,yes
Fastenal,525,,6010.9,925,,Wholesalers,Winona,MN,no,no,no,yes
GameStop,526,,6010.7,-381.3,,Retailing,Grapevine,TX,no,no,no,no
RPM International,518,,6106.3,502.6,,Chemicals,Medina,OH,no,no,no,yes
M&T Bank,519,,6105.8,1858.7,,Financials,Buffalo,NY,no,no,no,yes
Sprouts Farmers Market,520,,6099.9,244.2,,Food & Drug Stores,Phoenix,AZ,no,no,no,yes
Huntington Bancshares,521,,6080,1295,,Financials,Columbus,OH,no,no,no,yes
CACI International,522,,6044.1,457.4,,Technology,Reston,VA,no,no,no,yes
Select Medical Holdings,513,,6204.5,402.2,,Health Care,Mechanicsburg,PA,no,no,no,yes
Alaska Air Group,514,,6176,478,,Transportation,Seattle,WA,no,no,no,yes
Big Lots,515,,6150.6,177.8,,Retailing,Columbus,OH,no,no,no,yes
Amkor Technology,516,,6138.3,643,,Technology,Tempe,AZ,no,no,no,yes
Sinclair Broadcast Group,517,,6134,-414,,Media,Hunt Valley,MD,no,no,no,no
Lululemon athletica,509,,6256.6,975.3,,Retailing,Sumner,WA,no,no,no,yes
ABM Industries,510,,6228.6,126.3,,Business Services,New York,NY,no,no,no,yes
Post Holdings,511,,6226.7,166.7,,"Food, Beverages & Tobacco",St. Louis,MO,no,no,no,yes
Moody's,512,,6218,2214,,Business Services,New York,NY,no,no,no,yes
McCormick,505,,6317.9,755.3,,"Food, Beverages & Tobacco",Hunt Valley,MD,no,no,no,yes
Skechers U.S.A.,506,,6310.2,741.5,,Apparel,Manhattan Beach,CA,no,yes,no,yes
Watsco,507,,6280.2,418.9,,Wholesalers,Miami,FL,no,no,no,yes
Live Nation Entertainment,508,,6268.4,-650.9,,Media,Beverly Hills,CA,no,no,no,no
O-I Glass,501,,6357,149,,Materials,Perrysburg,OH,no,no,no,yes
Chemours,502,,6345,608,,Chemicals,Wilmington,DE,no,no,no,yes
Crown Castle International,503,,6340,1096,,Financials,Houston,TX,no,no,no,yes
Agilent Technologies,504,,6319,1210,,Technology,Santa Clara,CA,no,no,no,yes
Frontier Communications,499,-97,6411,,,Telecommunications,Norwalk,CT,no,no,no,no
Ameren,500,-31,6394,990,,Energy,St. Louis,MO,no,no,no,yes
Robert Half International,494,,6461.4,598.6,,Business Services,Menlo Park,CA,yes,no,no,yes
Compass,495,,6421,-494.1,,Technology,New York,NY,yes,yes,no,no
Hasbro,496,-2,6420.4,428.7,,Household Products,Pawtucket,RI,no,no,no,yes
Roper Technologies,497,-9,6415.8,1152.6,,Technology,Sarasota,FL,no,no,no,yes
ARKO,498,,6412.6,59.2,,Retailing,Richmond,VA,yes,no,no,yes
Yum Brands,490,-12,6584,1575,,"Hotels, Restaurants & Leisure",Louisville,KY,no,no,no,yes
Landstar System,491,,6540.4,381.5,,Transportation,Jacksonville,FL,yes,no,no,yes
CF Industries Holdings,492,,6538.3,917.1,,Chemicals,Deerfield,IL,yes,no,no,yes
Northern Trust,493,-50,6488.3,1545.3,,Financials,Chicago,IL,no,no,no,yes
EnLink Midstream,485,,6685.9,22.4,,Energy,Dallas,TX,yes,no,no,yes
Southwestern Energy,486,,6667,-25,,Energy,Spring,TX,yes,no,no,no
Equinix,487,-26,6635.5,500.2,,Financials,Redwood City,CA,no,no,no,yes
Dillard&#8217;s,488,,6624.3,862.5,,Retailing,Little Rock,AR,yes,no,no,yes
Regions Financial,489,-55,6605,2521,,Financials,Birmingham,AL,no,no,no,yes
Academy Sports and Outdoors,481,-6,6773.1,671.4,,Retailing,Katy,TX,no,no,no,yes
Sanmina,482,-64,6756.6,269,,Technology,San Jose,CA,no,yes,no,yes
ON Semiconductor,483,,6739.8,1009.6,,Technology,Phoenix,AZ,yes,no,no,yes
Commercial Metals,484,8,6729.8,412.9,,Materials,Irving,TX,no,no,yes,yes
Ingredion,476,-13,6894,117,,"Food, Beverages & Tobacco",Westchester,IL,no,no,no,yes
Veritiv,477,-38,6850.5,144.6,,Wholesalers,Atlanta,GA,no,no,no,yes
Beacon Roofing Supply,478,-58,6820.4,243,,Wholesalers,Herndon,VA,no,no,no,yes
Diamondback Energy,479,,6797,2182,,Energy,Midland,TX,yes,no,no,yes
Rockwell Automation,472,-32,6997.4,1358.1,,Industrials,Milwaukee,WI,no,no,no,yes
Citizens Financial Group,473,-92,6986,2319,,Financials,Providence,RI,no,no,no,yes
KLA,474,-6,6918.7,2078.3,,Technology,Milpitas,CA,no,no,no,yes
Camping World Holdings,475,21,6913.8,278.5,,Retailing,Lincolnshire,IL,no,no,no,yes
NCR,466,-20,7156,97,,Technology,Atlanta,GA,no,no,no,yes
Brighthouse Financial,468,-115,7142,-108,,Financials,Charlotte,NC,no,no,no,no
PPL,469,-87,7127,-1480,,Energy,Allentown,PA,no,no,no,no
Cintas,470,-60,7116.3,1111,,Business Services,Cincinnati,OH,no,no,no,yes
Xerox Holdings,471,-56,7038,-455,,Technology,Norwalk,CT,no,no,no,no
Analog Devices,463,18,7318.3,1390.4,,Technology,Wilmington,MA,no,no,no,yes
Securian Financial Group,464,-43,7317.4,311.5,,Financials,St. Paul,MN,no,no,no,yes
Darden Restaurants,465,-88,7196.1,629.3,,"Hotels, Restaurants & Leisure",Orlando,FL,no,no,no,yes
Graphic Packaging Holding,466,-31,7156,204,,Materials,Atlanta,GA,no,no,no,yes
Clorox,459,-32,7341,710,,Household Products,Oakland,CA,no,no,yes,yes
KBR,460,10,7339,18,,Engineering & Construction,Houston,TX,no,no,no,yes
TravelCenters of America,461,,7336.8,58.5,,Retailing,Westlake,OH,yes,no,no,yes
Hertz Global Holdings,462,,7336,366,,Retailing,Estero,FL,yes,no,no,yes
American Financial Group,454,-78,7462,1995,,Financials,Cincinnati,OH,no,no,no,yes
UGI,455,-19,7447,1467,,Energy,King of Prussia,PA,no,no,no,yes
Science Applications International,456,-44,7394,277,,Technology,Reston,VA,no,no,yes,yes
Avantor,457,-19,7386.1,572.6,,Technology,Radnor,PA,no,no,no,yes
Hanesbrands,458,-26,7347.8,77.2,,Apparel,Winston-Salem,NC,no,no,no,yes
Chipotle Mexican Grill,450,14,7547.1,653,,"Hotels, Restaurants & Leisure",Newport Beach,CA,no,no,no,yes
CMS Energy,451,-21,7538,1353,,Energy,Jackson,MI,no,no,no,yes
Arconic,452,24,7504,-397,,Materials,Pittsburgh,PA,no,no,no,no
Taylor Morrison Home,453,-1,7501.3,663,,Engineering & Construction,Scottsdale,AZ,no,no,yes,yes
A-Mark Precious Metals,446,49,7613,159.6,,Wholesalers,El Segundo,CA,no,no,no,yes
Hess,447,,7583,559,,Energy,New York,NY,yes,no,no,yes
Vertex Pharmaceuticals,448,,7574.4,2342.1,,Health Care,Boston,MA,no,no,yes,yes
KeyCorp,449,-53,7561,2625,,Financials,Cleveland,OH,no,no,no,yes
LPL Financial Holdings,442,24,7720.8,459.9,,Financials,San Diego,CA,no,no,no,yes
T. Rowe Price,443,4,7671.9,3082.9,,Financials,Baltimore,MD,no,no,no,yes
Fortune Brands Home & Security,444,12,7656.1,772.4,,Household Products,Deerfield,IL,no,no,no,yes
Casey's General Stores,445,-74,7654.2,312.9,,Retailing,Ankeny,IA,no,no,no,yes
Zimmer Biomet Holdings,438,-24,7836.2,401.6,,Health Care,Warsaw,IN,no,no,no,yes
Westinghouse Air Brake Technologies,439,-55,7822,558,,Industrials,Pittsburgh,PA,no,no,no,yes
Zoetis,440,-9,7776,2037,,Health Care,Parsippany,NJ,no,no,yes,yes
Packaging Corp. of America,441,-8,7730.3,841.1,,Materials,Lake Forest,IL,no,no,no,yes
Dover,433,-4,7907.1,1123.8,,Industrials,Downers Grove,IL,no,no,no,yes
Genworth Financial,434,-86,7882,904,,Financials,Richmond,VA,no,no,no,yes
Bath & Body Works,435,-178,7881.5,1333.5,,Retailing,Columbus,OH,no,no,yes,yes
Booz Allen Hamilton Holding,436,-45,7858.9,609,,Technology,McLean,VA,no,no,no,yes
Coinbase Global,437,,7839.4,3624.1,,Financials,Wilmington,DE,yes,yes,no,yes
MasTec,429,12,7951.8,328.8,,Engineering & Construction,Coral Gables,FL,no,no,no,yes
APA,431,,7928,973,,Energy,Houston,TX,yes,no,no,yes
Boise Cascade,432,61,7926.1,712.5,,Wholesalers,Boise,ID,no,no,no,yes
Opendoor Technologies,425,,8021,-662,,Technology,San Francisco,CA,yes,yes,no,no
J.M. Smucker,426,-48,8002.7,876.3,,"Food, Beverages & Tobacco",Orrville,OH,no,no,no,yes
Anywhere Real Estate,427,18,7983,343,,Financials,Madison,NJ,no,no,no,yes
Oshkosh,428,-6,7952.5,409.4,,Industrials,Oshkosh,WI,no,no,no,yes
Williams-Sonoma,420,5,8245.9,1126.3,,Retailing,San Francisco,CA,no,no,yes,yes
Autoliv,421,-29,8230,435,,Motor Vehicles & Parts,Auburn Hills,MI,no,no,no,yes
Arthur J. Gallagher,422,-6,8209.4,906.8,,Financials,Rolling Meadows,IL,no,no,no,yes
Motorola Solutions,423,-28,8171,1245,,Technology,Chicago,IL,no,no,no,yes
Zillow Group,424,,8147.4,-527.8,,Technology,Seattle,WA,yes,yes,no,no
WEC Energy Group,416,-16,8316,1300.3,,Energy,Milwaukee,WI,no,no,no,yes
S&P Global,417,-24,8297,3024,,Business Services,New York,NY,no,no,no,yes
FM Global,418,5,8274.6,2842.4,,Financials,Johnston,RI,no,no,no,yes
Polaris,419,-12,8252,493.9,,Transportation,Medina,MN,no,no,no,yes
Avery Dennison,412,5,8408.3,740.1,,Materials,Glendale,CA,no,no,no,yes
Masco,413,-15,8375,410,,Household Products,Livonia,MI,no,no,no,yes
CenterPoint Energy,414,-72,8352,1486,,Energy,Houston,TX,no,no,no,yes
Fifth Third Bancorp,415,-57,8329,2770,,Financials,Cincinnati,OH,no,no,no,yes
Global Payments,407,-13,8523.8,965.5,,Business Services,Atlanta,GA,no,no,no,yes
Owens Corning,408,5,8498,995,,Materials,Toledo,OH,no,no,no,yes
Campbell Soup,409,-74,8476,1002,,"Food, Beverages & Tobacco",Camden,NJ,no,no,no,yes
Huntsman,410,50,8453,1045,,Chemicals,The Woodlands,TX,no,no,no,yes
Franklin Resources,411,73,8425.5,1831.2,,Financials,San Mateo,CA,no,no,yes,yes
Ulta Beauty,402,49,8630.9,985.8,,Retailing,Bolingbrook,IL,no,no,no,yes
Constellation Brands,403,-44,8614.9,1998,,"Food, Beverages & Tobacco",Victor,NY,no,no,no,yes
Expedia Group,404,,8598,12,,Retailing,Seattle,WA,yes,no,no,yes
CommScope Holding,405,-49,8586.7,-462.6,,Technology,Hickory,NC,no,no,no,no
Celanese,406,71,8537,1890,,Chemicals,Irving,TX,no,no,yes,yes
UFP Industries,401,,8636.1,535.6,,Materials,Grand Rapids,MI,yes,no,no,yes
Graybar Electric,399,,8767.3,262.4,,Wholesalers,St. Louis,MO,no,no,yes,yes
Ovintiv,400,58,8658,1416,,Energy,Denver,CO,no,no,no,yes
Chewy,394,9,8890.8,-73.8,,Retailing,Dania Beach,FL,no,no,no,no
Activision Blizzard,396,-23,8803,2699,,Media,Santa Monica,CA,no,no,no,yes
Toll Brothers,397,14,8790.4,833.6,,Engineering & Construction,Fort Washington,PA,no,no,no,yes
Carlyle Group,398,,8782.1,2974.7,,Financials,Washington,DC,yes,no,no,yes
Foot Locker,390,-5,8958,893,,Retailing,New York,NY,no,no,no,yes
Dana,391,17,8945,197,,Motor Vehicles & Parts,Maumee,OH,no,no,no,yes
SpartanNash,392,-63,8931,73.8,,Wholesalers,Byron Center,MI,no,no,no,yes
Olin,393,79,8910.6,1296.7,,Chemicals,Clayton,MO,no,no,no,yes
PVH,385,19,9154.7,952.3,,Apparel,New York,NY,no,no,no,yes
Apollo Global Management,386,,9124,1838.5,,Financials,New York,NY,yes,yes,no,yes
Jefferies Financial Group,387,32,9039.9,1674.4,,Financials,New York,NY,no,no,no,yes
Hershey,388,-18,8971.3,1477.5,,"Food, Beverages & Tobacco",Hershey,PA,no,no,yes,yes
NVR,389,-6,8970.1,1236.7,,Engineering & Construction,Reston,VA,no,no,no,yes
Bed Bath & Beyond,381,-101,9233,-150.8,,Retailing,Union,NJ,no,no,yes,no
Seaboard,382,24,9229,570,,"Food, Beverages & Tobacco",Merriam,KS,no,no,no,yes
First American Financial,383,26,9221,1241,,Financials,Santa Ana,CA,no,no,no,yes
Intercontinental Exchange,384,-19,9168,4058,,Financials,Atlanta,GA,no,yes,no,yes
Old Republic International,376,25,9341.6,1534.3,,Financials,Chicago,IL,no,no,no,yes
Burlington Stores,377,94,9322.3,408.8,,Retailing,Burlington,NJ,no,no,no,yes
Avis Budget Group,378,120,9313,1285,,Retailing,Parsippany,NJ,no,no,no,yes
ODP,379,-67,9267,-208,,Retailing,Boca Raton,FL,no,no,no,no
VF,380,-117,9238.8,407.9,,Apparel,Denver,CO,no,no,no,yes
W.R. Berkley,371,1,9455.5,1022.5,,Financials,Greenwich,CT,no,no,no,yes
Western & Southern Financial Group,372,2,9441.7,361.2,,Financials,Cincinnati,OH,no,no,no,yes
Insight Enterprises,373,-13,9436.1,219.3,,Technology,Tempe,AZ,no,no,yes,yes
News Corp.,374,-37,9358,330,,Media,New York,NY,no,no,no,yes
American Tower,375,,9356.9,2567.7,,Financials,Boston,MA,no,no,no,yes
Cincinnati Financial,367,19,9629.7,2945.6,,Financials,Fairfield,OH,no,no,no,yes
Erie Insurance Group,368,-21,9619.7,1130.1,,Financials,Erie,PA,no,no,no,yes
Univar Solutions,369,-7,9535.5,460.6,,Wholesalers,Downers Grove,IL,no,no,no,yes
